date,time_from,time_to,production
2015-02-05,08:45,09:00,36897
2015-02-05,09:00,09:15,37970
2015-02-05,09:15,09:30,38161
2015-02-05,09:30,09:45,38391
2015-02-05,09:45,10:00,38696
2015-02-05,10:00,10:15,39545
2015-02-05,10:15,10:30,39757
2015-02-05,10:30,10:45,40054
2015-02-05,10:45,11:00,40312
2015-02-05,11:00,11:15,41168
2015-02-05,11:15,11:30,41320
2015-02-05,11:30,11:45,41495
2015-02-05,11:45,12:00,41499
2015-02-05,12:00,12:15,41812
2015-02-05,12:15,12:30,41845
2015-02-05,12:30,12:45,41979
2015-02-05,12:45,13:00,42052
2015-02-05,13:00,13:15,42212
2015-02-05,13:15,13:30,42242
2015-02-05,13:30,13:45,42223
2015-02-05,13:45,14:00,42185
2015-02-05,14:00,14:15,41528
2015-02-05,14:15,14:30,41497
2015-02-05,14:30,14:45,41440
2015-02-05,14:45,15:00,41360
2015-02-05,15:00,15:15,40960
2015-02-05,15:15,15:30,40752
2015-02-05,15:30,15:45,40543
2015-02-05,15:45,16:00,40395
2015-02-05,16:00,16:15,40059
2015-02-05,16:15,16:30,39934
2015-02-05,16:30,16:45,39904
2015-02-05,16:45,17:00,40044
2015-02-05,17:00,17:15,39193
2015-02-05,17:15,17:30,39468
2015-02-05,17:30,17:45,39727
2015-02-05,17:45,18:00,40052
2015-02-05,18:00,18:15,40277
2015-02-05,18:15,18:30,40445
2015-02-05,18:30,18:45,40343
2015-02-05,18:45,19:00,40388
2015-02-05,19:00,19:15,40098
2015-02-05,19:15,19:30,40062
2015-02-05,19:30,19:45,40001
2015-02-05,19:45,20:00,39871
2015-02-05,20:00,20:15,38691
2015-02-05,20:15,20:30,38113
2015-02-05,20:30,20:45,37930
2015-02-05,20:45,21:00,37795
2015-02-05,21:00,21:15,36823
2015-02-05,21:15,21:30,36598
2015-02-05,21:30,21:45,36656
2015-02-05,21:45,22:00,36604
2015-02-05,22:00,22:15,35971
2015-02-05,22:15,22:30,35836
2015-02-05,22:30,22:45,35748
2015-02-05,22:45,23:00,35584
2015-02-05,23:00,23:15,33742
2015-02-05,23:15,23:30,33350
2015-02-05,23:30,23:45,33012
2015-02-05,23:45,00:00,32856
2015-02-06,00:00,00:15,33459
2015-02-06,00:15,00:30,33238
2015-02-06,00:30,00:45,33099
2015-02-06,00:45,01:00,33103
2015-02-06,01:00,01:15,32290
2015-02-06,01:15,01:30,32188
2015-02-06,01:30,01:45,32139
2015-02-06,01:45,02:00,32132
2015-02-06,02:00,02:15,31714
2015-02-06,02:15,02:30,31694
2015-02-06,02:30,02:45,31671
2015-02-06,02:45,03:00,31712
2015-02-06,03:00,03:15,31336
2015-02-06,03:15,03:30,31321
2015-02-06,03:30,03:45,31369
2015-02-06,03:45,04:00,31339
2015-02-06,04:00,04:15,32242
2015-02-06,04:15,04:30,32250
2015-02-06,04:30,04:45,32342
2015-02-06,04:45,05:00,32387
2015-02-06,05:00,05:15,33213
2015-02-06,05:15,05:30,33348
2015-02-06,05:30,05:45,33636
2015-02-06,05:45,06:00,33943
2015-02-06,06:00,06:15,36101
2015-02-06,06:15,06:30,36674
2015-02-06,06:30,06:45,37103
2015-02-06,06:45,07:00,37393
2015-02-06,07:00,07:15,37959
2015-02-06,07:15,07:30,38128
2015-02-06,07:30,07:45,38538
2015-02-06,07:45,08:00,38919
2015-02-06,08:00,08:15,40491
2015-02-06,08:15,08:30,40564
2015-02-06,08:30,08:45,40747
2015-02-06,08:45,09:00,41019
2015-02-06,09:00,09:15,41994
2015-02-06,09:15,09:30,42232
2015-02-06,09:30,09:45,42591
2015-02-06,09:45,10:00,42938
2015-02-06,10:00,10:15,43196
2015-02-06,10:15,10:30,43391
2015-02-06,10:30,10:45,43696
2015-02-06,10:45,11:00,44065
2015-02-06,11:00,11:15,44690
2015-02-06,11:15,11:30,44909
2015-02-06,11:30,11:45,45186
2015-02-06,11:45,12:00,45377
2015-02-06,12:00,12:15,45897
2015-02-06,12:15,12:30,45953
2015-02-06,12:30,12:45,45878
2015-02-06,12:45,13:00,45843
2015-02-06,13:00,13:15,45369
2015-02-06,13:15,13:30,45276
2015-02-06,13:30,13:45,45046
2015-02-06,13:45,14:00,44807
2015-02-06,14:00,14:15,44068
