OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
116,40504,Bürgerschaftshaus e.V.,Görlinger Zentrum 11-15,1,,40504,Bocklemünd/Mengenich,50829,01156001100,764405.5993,6617781.1403,Bocklemünd/Mengenich,25,15,95
117,20806,GHS Ringelnatzstraße,Ringelnatzstr. 12,1,,20806,Rodenkirchen,50996,04731001200,779343.7174,6601688.3555,Rodenkirchen,14,13,94
118,71104,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71104,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
119,30407,Griechisches Lyzeum,Aachener Str. 443,0,,30407,Braunsfeld,50933,00002044300,768709.3902,6610097.9906,Braunsfeld,19,14,94
120,20906,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20906,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
121,90119,KGS Langemaß,Langemaß 21,1,,90119,Mülheim,51063,01950002100,780229.4528,6615869.5675,Mülheim,36,19,101
122,30711,Schulzentrum Weiden,Ostlandstr. 39,1,,30711,Weiden,50858,05271003900,761240.4476,6609758.9039,Weiden,21,14,94
123,20807,GHS Ringelnatzstraße,Ringelnatzstr. 12,1,,20807,Rodenkirchen,50996,04731001200,779343.7174,6601688.3555,Rodenkirchen,14,13,94
124,21006,Brüder-Grimm-Schule,Sürther Hauptstr. 149,1,,21006,Sürth,50999,05559014900,780687.0939,6597665.7865,Sürth,14,13,94
125,10508,Gymnasium Thusneldastr.,Thusneldastr. 15-17,1,,10508,Deutz,50679,03082001500,777171.2648,6609855.5087,Deutz,06,18,93
126,40108,Berufskolleg Ehrenfeld,Weinsbergstr. 72,1,,40108,Ehrenfeld,50823,03282007200,770690.4794,6610866.6621,Ehrenfeld,22,15,95
127,30901,GGS Neue Sandkaul,Neue Sandkaul 23,1,,30901,Widdersdorf,50859,05236002300,761153.8841,6615015.4047,Widdersdorf,21,14,94
