OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
381,70902,Eduard-Mörike-Schule,Mörikeweg 2,1,,70902,Grengel,51147,05190000200,790250.1334,6599154.5253,Grengel,09,17,93
382,10510,Bürgerzentrum Deutz,Tempelstr. 41-43,1,,10510,Deutz,50679,03082001500,776265.5691,6609786.7641,Deutz,06,18,93
383,10225,Stephan-Lochner-Schule,Lochnerstr. 13-15,0,,10225,Neustadt/Süd,50674,02039001300,772088.5082,6608908.8027,Neustadt/Süd,03,13,94
384,10214,GGS Loreleystr.,Loreleystr. 3,0,,10214,Neustadt/Süd,50677,02054000300,773880.6639,6607057.6485,Neustadt/Süd,02,13,94
385,71201,Kita Viehtrift,Viehtrift 5,1,,71201,Lind,51147,05633000500,790499.8955,6594748.2561,Lind,10,17,93
386,90701,GGS Am Portzenacker,Am Portzenacker 1b,1,,90701,Dünnwald,51069,00171000102,782451.5363,6621483.3602,Dünnwald,38,19,101
387,10218,Humboldt-Gymnasium,Kartäuserwall 40,1,,10218,Altstadt/Süd,50676,01741004000,773535.0759,6608347.9548,Neustadt/Süd,02,13,94
388,80807,KGS Forststr.,Forststr. 20,1,,80807,Rath/Heumar,51107,04553002000,788639.2006,6606586.8158,Rath/Heumar,41,17,93
389,40205,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40205,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
390,60405,Kath. Grundschule,Lebensbaumweg 51,1,,60405,Heimersdorf,50767,01969005100,768349.1275,6623012.7623,Heimersdorf,26,16,95
391,70705,KGS Kupfergasse,Kupfergasse 31,1,,70705,Urbach,51145,05031003100,788275.1593,6600211.4947,Urbach,09,17,93
392,20903,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20903,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
393,40120,Schule Leyendecker Str.,Leyendeckerstr. 20,0,,40120,Ehrenfeld,50825,02003002000,769446.9128,6613421.7636,Ehrenfeld,24,15,95
394,50606,Marienschule,Altonaer Str. 32,1,,50606,Longerich,50737,00084003200,770855.9754,6620547.3997,Longerich,30,16,95
395,71301,Haus Helfer,Urbanusstr. 1,1,,71301,Libur,51147,05622000100,786922.5228,6592741.9121,Libur,10,17,93
396,40505,Bürgerschaftshaus e.V.,Görlinger Zentrum 11-15,1,,40505,Bocklemünd/Mengenich,50829,01156001100,764405.5993,6617781.1403,Bocklemünd/Mengenich,25,15,95
397,21008,Ev. Kirchengem. Sürth/Weiß,Auferstehungskirchweg 7,1,,21008,Sürth,50999,05879000700,779952.2925,6597261.0765,Sürth,14,13,94
398,70204,Bürgerzentrum Engelshof e.V.,Oberstr. 96,1,,70204,Westhoven,51149,05258009600,781595.7585,6603658.2919,Westhoven,07,17,93
399,10202,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10202,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
400,90202,GGS Kopernikusstr.,Kopernikusstr. 40,0,,90202,Buchforst,51065,01859004000,780312.197,6612400.1837,Buchforst,35,19,101
401,70602,Max-Planck-Realschule,Planckstr. 14,1,,70602,Porz,51145,05309001400,786838.6315,6601377.2886,Porz,08,17,93
402,71001,Pestalozzi-Schule,Sportplatzstr. 82,1,,71001,Wahnheide,51147,05520008200,790604.5189,6597421.3984,Wahnheide,10,17,93
403,10412,Freie Schule Köln e. V.,Bernhard-Letterhaus-Str. 17,1,,10412,Neustadt/Nord,50670,00441001700,773897.1812,6613402.3783,Neustadt/Nord,05,18,93
404,20902,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20902,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
405,10226,Stephan-Lochner-Schule,Lochnerstr. 13-15,0,,10226,Neustadt/Süd,50674,02039001300,772088.5082,6608908.8027,Neustadt/Süd,03,13,94
406,60402,Ursula-Kuhr-Schule,Volkhovener Weg 140,1,,60402,Heimersdorf,50767,03204014000,767894.825,6622713.6209,Heimersdorf,26,16,95
407,90518,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90518,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
408,10230,Stephan-Lochner-Schule,Lochnerstr. 13-15,0,,10230,Neustadt/Süd,50674,02039001300,772088.5082,6608908.8027,Neustadt/Süd,03,13,94
409,80302,GGS Heßhofstr.,Heßhofstr. 45,1,,80302,Vingst,51107,01417004500,781861.8624,6609099.9534,Vingst,43,18,93
410,10228,Stephan-Lochner-Schule,Lochnerstr. 13-15,0,,10228,Neustadt/Süd,50674,02039001300,772088.5082,6608908.8027,Neustadt/Süd,03,13,94
411,40308,Schule Lindweiler Hof,Rochusstr. 80,1,,40308,Bickendorf,50827,02675008000,768532.3684,6614360.5521,Bickendorf,24,15,95
412,70205,GGS Hohe Str.,Hohe Str. 77-79,1,,70205,Ensen,51149,04794007700,782552.7812,6603072.6926,Westhoven,07,17,93
413,80507,GGS Zehnthofstr.,Zehnthofstr. 22,1,,80507,Ostheim,51107,03400002200,783934.6734,6609100.9678,Ostheim,45,18,93
414,30708,Clarenhofschule,Schulstr. 2,1,,30708,Weiden,50859,05469000200,760091.3877,6610287.7558,Weiden,21,14,94
415,90116,Peter-Petersen-Schule,Mülheimer Freiheit 99,1,,90116,Mülheim,51063,02282009900,779314.543,6615412.0521,Mülheim,36,19,101
416,40503,KGS Mengenicher Str.,Mengenicher Str. 28,0,,40503,Bocklemünd/Mengenich,50829,02208002800,763962.627,6617023.2636,Bocklemünd/Mengenich,25,15,95
417,30807,Johanniter-Schule,Kölner Str. 37,1,,30807,Lövenich,50859,04996003700,760786.2255,6611880.2639,Lövenich,21,14,94
418,90507,Grundschule Urnenstr.,Urnenstr. 7,0,,90507,Dellbrück,51069,03162000700,786523.4159,6617446.2977,Dellbrück,39,19,101
419,20302,GGS Annastr.,Annastr. 63,0,,20302,Raderberg,50968,00267006300,774754.6832,6604424.9585,Raderberg,13,13,94
420,80605,KGS Fußfallstr.,Fußfallstr. 55,1,,80605,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
421,70203,Bürgerzentrum Engelshof e.V.,Oberstr. 96,1,,70203,Westhoven,51149,05258009600,781595.7585,6603658.2919,Westhoven,07,17,93
422,90117,Rhein-Gymnasium,Düsseldorfer Str. 13,1,,90117,Mülheim,51063,00782001300,779510.4221,6615777.968,Mülheim,37,19,101
423,20701,Pflanzen Mohr,Bonner Landstr. 100,1,,20701,Hahnwald,50996,04333010000,776006.3438,6599106.7509,Hahnwald,15,13,94
424,70604,Berufskolleg Porz,Hauptstr. 426,1,,70604,Porz,51143,04712042600,785539.5728,6601141.0728,Porz,11,17,93
425,10504,Bürgerzentrum Deutz,Tempelstr. 41-43,1,,10504,Deutz,50679,03082001500,776265.5878,6609786.6428,Deutz,06,18,93
426,10232,Berufskolleg an der Lindenstraße,Lindenstr. 78,1,,10232,Neustadt/Süd,50674,02027007800,771853.969,6609391.5869,Neustadt/Süd,03,13,94
427,50709,KGS Osterather Str.,Osterather Str. 13,0,,50709,Bilderstöckchen,50739,02431001300,772258.999,6613972.9876,Bilderstöckchen,31,15,95
428,71409,GGS Irisweg,Irisweg 2,1,,71409,Zündorf,51143,04897000200,785571.1335,6598711.5365,Zündorf,11,17,93
429,20607,Anne-Frank-Schule,Adlerstr. 13,1,,20607,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
430,60601,Erich-Ohser-Schule,Schulstr. 16,1,,60601,Pesch,50767,05466001600,765005.609,6620755.9575,Pesch,28,16,95
431,30504,GGS Wendelinstr.,Wendelinstr. 64,1,,30504,Müngersdorf,50933,03289006400,765907.0729,6610941.2182,Müngersdorf,20,14,94
432,40302,"AWO Köln, Jugendeinrichtung",Ossendorfer Weg 15,1,,40302,Bickendorf,50827,02428001500,767034.2628,6615785.2503,Bickendorf,25,15,95
433,21003,Brüder-Grimm-Schule,Sürther Hauptstr. 149,1,,21003,Sürth,50999,05559014900,780687.0939,6597665.7865,Sürth,14,13,94
434,90109,Realschule Lassallestr.,Lassallestr. 59,1,,90109,Mülheim,51065,01957005900,780092.2711,6613961.1581,Mülheim,36,19,101
435,30213,GGS Manderscheider Platz,Berrenrather Str. 352,0,,30213,Sülz,50937,00444035200,770468.2938,6606290.7747,Sülz,17,14,94
436,90304,GGS Alte Wipperfürther Straße,Alte Wipperfürther Str. 49,1,,90304,Buchheim,51065,00081004900,781051.0303,6613510.0296,Buchheim,35,19,101
437,20504,GGS Rosenzweigweg,Rosenzweigweg 3,1,,20504,Zollstock,50969,02708000300,773019.6572,6605089.0768,Zollstock,13,13,94
438,40601,Montessori Grundschule Am Pistorhof,Am Pistorhof 11,1,,40601,Ossendorf,50827,00780001100,769143.8304,6615130.373,Ossendorf,24,15,95
439,30803,Kita Siegstr.,Siegstr. 12,0,,30803,Lövenich,50859,05503001200,759677.138,6611237.8827,Lövenich,21,14,94
440,30219,GGS Manderscheider Platz,Berrenrather Str. 352,0,,30219,Sülz,50937,00444035200,770468.2938,6606290.7747,Sülz,17,14,94
441,10425,Oberfinanzdirektion Rheinland,Riehler Platz 2,1,,10425,Neustadt/Nord,50668,02655000200,775428.7127,6613179.8762,Neustadt/Nord,05,18,93
442,40507,Bürgerschaftshaus e.V.,Görlinger Zentrum 11-15,1,,40507,Bocklemünd/Mengenich,50829,01156001100,764405.5993,6617781.1403,Bocklemünd/Mengenich,25,15,95
443,21301,Ketteler-Schule,Kettelerstr. 14,1,,21301,Meschenich,50997,04960001400,771648.015,6596505.0679,Meschenich,15,13,94
444,30106,GGS Stenzelbergstr.,Stenzelbergstr. 3,1,,30106,Klettenberg,50939,02984000300,771487.9362,6605504.9089,Klettenberg,16,14,94
445,10206,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10206,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
446,60303,GGS Riphahnstr.,Riphahnstr. 40a,1,,60303,Seeberg,50769,02662004001,768266.6809,6624821.432,Seeberg,26,16,95
447,50101,Förderschule Auguststr.,Auguststr. 1,0,,50101,Nippes,50733,00356000100,773833.2707,6614230.1914,Nippes,32,15,95
448,40109,Berufskolleg Ehrenfeld,Weinsbergstr. 72,1,,40109,Ehrenfeld,50823,03282007200,770690.4794,6610866.6621,Ehrenfeld,22,15,95
449,50611,KGS Longericher Hauptstr.,Longericher Hauptstr. 83,0,,50611,Longerich,50739,02051008300,768656.526,6620670.8353,Longerich,30,16,95
450,90308,Herder-Gymnasium,Kattowitzer Str. 52,1,,90308,Buchheim,51065,01756005200,781709.4041,6612748.9259,Buchheim,35,19,101
451,90805,Kath. GS Diependahlstr.,Diependahlstr. 12,1,,90805,Stammheim,51061,00725001200,777867.0692,6618913.2024,Stammheim,37,19,101
452,10419,Schule Blumenthalstr,Blumenthalstr. 10-12,0,,10419,Neustadt/Nord,50670,00487001000,774709.1844,6613286.0561,Neustadt/Nord,05,18,93
453,50118,Gymnasium Blücherstr.,Blücherstr. 15,0,,50118,Nippes,50733,00484001500,774287.0725,6615402.0449,Nippes,32,15,95
454,90105,Johann-Bendel-Realschule,Danzierstr. 146a,1,,90105,Mülheim,51063,00678014601,779356.1558,6614046.0736,Mülheim,36,19,101
455,30315,GGS Freiligrathstr.,Freiligrathstr. 60,1,,30315,Lindenthal,50935,01017006000,768383.5309,6607607.7747,Lindenthal,18,14,94
456,30201,Hildegard-von-Bingen-Schule,Leybergstr. 1,1,,30201,Sülz,50939,02001000100,771779.1908,6606583.1215,Sülz,16,14,94
457,40405,Förderschule Kolkrabenweg,Kolkrabenweg 8-10,1,,40405,Vogelsang,50829,01847000800,765592.9065,6615089.185,Vogelsang,25,15,95
458,71410,GGS Irisweg,Irisweg 2,1,,71410,Zündorf,51143,04897000200,785571.1335,6598711.5365,Zündorf,11,17,93
459,80401,GHS Nürnberger Straße,Nürnberger Str. 10,1,,80401,Höhenberg,51103,02383001000,781901.5325,6610513.7481,Höhenberg,44,18,93
460,30303,Förderschule Redwitzstr.,Redwitzstr. 80,1,,30303,Sülz,50937,02601008000,770712.1653,6607559.0441,Lindenthal,18,14,94
461,50304,GGS Garthestr.,Garthestr. 20,0,,50304,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
462,60702,Landwirtschaftskammer,Gartenstr. 11,1,,60702,Esch/Auweiler,50765,04602001100,762541.8483,6621640.1209,Esch/Auweiler,28,16,95
463,21202,Freiherr-vom-Stein-Schule,Godorfer Str. 29,1,,21202,Immendorf,50997,04643002900,775128.7166,6595963.6055,Immendorf,15,13,94
464,20506,Pfarrheim St. Pius,Irmgardstr. 13,1,,20506,Zollstock,50969,01622001300,772921.0164,6605621.8123,Zollstock,13,13,94
465,50509,Florianschule,Neusser Str. 605,0,,50509,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
466,30607,GGS Ildefons-Herwegen,Kirchweg 138,1,,30607,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
467,30809,Johanniter-Schule,Kölner Str. 37,1,,30809,Lövenich,50859,04996003700,760786.2255,6611880.2639,Lövenich,21,14,94
468,10119,Kath. HS Großer Griechenmarkt,Großer Griechenmarkt 76,1,,10119,Altstadt/Süd,50676,01220007600,773765.0876,6609303.7533,Altstadt/Süd,01,13,94
469,80709,KGS Olpener Str.,Olpener Str. 930,1,,80709,Brück,51109,02414093000,787954.0165,6611566.1002,Brück,41,17,93
470,30406,Griechisches Lyzeum,Aachener Str. 443,0,,30406,Braunsfeld,50933,00002044300,768709.3902,6610097.9906,Braunsfeld,19,14,94
471,20515,Alfred-Müller-Armack-Berufskolleg,Brüggener Str. 1,1,,20515,Zollstock,50969,00562000100,772359.1235,6604527.5842,Zollstock,13,13,94
472,90410,Berthold-Otto-Schule,Buschfeldstr. 46,1,,90410,Holweide,51067,00604004600,783656.3687,6616154.4453,Holweide,40,19,101
473,40112,KGS Everhardstr.,Everhardstr. 60,1,,40112,Ehrenfeld,50823,00915006000,771327.4324,6612301.4216,Ehrenfeld,22,15,95
474,50614,KGS Longericher Hauptstr.,Longericher Hauptstr. 83,0,,50614,Longerich,50739,02051008300,768656.526,6620670.8353,Longerich,30,16,95
475,50113,Peter-Ustinov-Realschule,Neusser Str. 421,1,,50113,Nippes,50733,02341042100,773798.8303,6616273.3702,Nippes,32,15,95
476,90115,Peter-Petersen-Schule,Mülheimer Freiheit 99,1,,90115,Mülheim,51063,02282009900,779314.543,6615412.0521,Mülheim,36,19,101
477,30302,Förderschule Redwitzstr.,Redwitzstr. 80,1,,30302,Sülz,50937,02601008000,770712.1653,6607559.0441,Lindenthal,18,14,94
478,10209,Berufskolleg Südstadt,Zugweg 48,1,,10209,Neustadt/Süd,50677,03429004800,774370.1759,6606745.4894,Neustadt/Süd,02,13,94
479,61202,Grundschule An den Kaulen,An den Kaulen 62,1,,61202,Worringen,50769,00216006200,763415.2612,6633355.7417,Worringen,29,16,95
480,30318,GGS Freiligrathstr.,Freiligrathstr. 60,1,,30318,Lindenthal,50935,01017006000,768383.5309,6607607.7747,Lindenthal,18,14,94
481,50401,Kita Feldgärtenstr.,Feldgärtenstr. 109a,1,,50401,Niehl,50735,00933010900,774516.1754,6619187.2278,Niehl,30,16,95
482,20402,Europaschule Köln,Raderthalgürtel 3,1,,20402,Raderthal,50968,02577000300,773696.2953,6604022.0038,Raderthal,12,13,94
483,80103,GGS Westerwaldstr.,Westerwaldstr. 90,1,,80103,Humboldt/Gremberg,51105,03302009000,778810.7264,6608714.4962,Humboldt/Gremberg,43,18,93
484,50507,Florianschule,Neusser Str. 605,0,,50507,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
485,60604,Schulzentrum Pesch,Schulstr. 18,1,,60604,Pesch,50767,05466001800,764958.7355,6620963.8559,Pesch,28,16,95
486,30212,GGS Manderscheider Platz,Berrenrather Str. 352,0,,30212,Sülz,50937,00444035200,770468.2938,6606290.7747,Sülz,17,14,94
487,30105,KGS Lohrbergstr.,Lohrbergstr. 46,1,,30105,Klettenberg,50939,02049004600,770676.905,6605455.3522,Klettenberg,16,14,94
488,90405,Kita Piccoloministr.,Piccoloministr. 531,1,,90405,Holweide,51067,02526053100,784968.0805,6616623.8506,Holweide,40,19,101
489,40502,KGS Mengenicher Str.,Mengenicher Str. 28,0,,40502,Bocklemünd/Mengenich,50829,02208002800,763962.627,6617023.2636,Bocklemünd/Mengenich,25,15,95
490,90303,GHS Wuppertaler Straße,Wuppertaler Str. 19,1,,90303,Buchheim,51067,03392001900,781806.0285,6614229.1559,Buchheim,35,19,101
491,40123,Schule Leyendecker Str.,Leyendeckerstr. 20,0,,40123,Ehrenfeld,50825,02003002000,769446.9128,6613421.7636,Ehrenfeld,23,15,95
492,30603,GGS Ildefons-Herwegen,Kirchweg 138,1,,30603,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
493,30710,Schulzentrum Weiden,Ostlandstr. 39,1,,30710,Weiden,50858,05271003900,761240.4476,6609758.9039,Weiden,21,14,94
494,40211,GGS Nußbaumerstr.,Nußbaumerstr. 254,1,,40211,Neuehrenfeld,50825,02386025400,770526.1895,6613883.4003,Neuehrenfeld,23,15,95
495,60104,GGS Spoerkelhof,Spoerkelhof 7,0,,60104,Merkenich,50769,02943000700,774027.9712,6626092.9327,Merkenich,29,16,95
496,60803,Heinrich-Mann-Gymnasium,Fühlinger Weg 4,1,,60803,Volkhoven/Weiler,50765,01055000400,766231.0212,6624518.7689,Volkhoven/Weiler,26,16,95
497,10409,Montessori-Grundschule,Gilbachstr. 20,0,,10409,Neustadt/Nord,50672,01129002000,772417.3145,6611640.7671,Neustadt/Nord,04,18,93
498,90401,KGS Neufelder Str.,Neufelder Str. 2,0,,90401,Holweide,51067,02332000200,785377.2217,6615932.8075,Holweide,40,19,101
499,21001,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,21001,Weiß,50999,05743001300,782189.5434,6599081.0057,Sürth,14,13,94
500,21302,Ketteler-Schule,Kettelerstr. 14,1,,21302,Meschenich,50997,04960001400,771648.015,6596505.0679,Meschenich,15,13,94
501,90512,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90512,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
502,30321,Apostelgymnasium,Biggestr. 2,1,,30321,Lindenthal,50931,00463000200,769849.5122,6609350.8636,Lindenthal,18,14,94
503,80105,Berufskolleg Usingerstr.,Usingerstr. 24,1,,80105,Humboldt/Gremberg,51105,03167002400,779092.8616,6609398.8685,Humboldt/Gremberg,43,18,93
504,30701,Albert Schweitzer-Grundschule,Breslauer Str. 11,1,,30701,Weiden,50858,04344001100,761926.681,6610013.5024,Weiden,20,14,94
505,60608,Schulzentrum Pesch,Schulstr. 18,1,,60608,Pesch,50767,05466001800,764958.7355,6620963.8559,Pesch,28,16,95
506,10417,Schule Blumenthalstr,Blumenthalstr. 10-12,0,,10417,Neustadt/Nord,50670,00487001000,774709.1844,6613286.0561,Neustadt/Nord,05,18,93
507,71404,GGS Schmittgasse,Schmittgasse 66,0,,71404,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
508,10308,Fachhochschule Thürmchenswall,Thürmchenswall 48,1,,10308,Altstadt/Nord,50668,03075004800,774853.7947,6612260.7645,Altstadt/Nord,04,18,93
509,90611,Willy-Brandt-Gesamtschule,Im Weidenbruch 214,1,,90611,Höhenhaus,51061,01595021400,784137.5569,6618418.7971,Höhenhaus,38,19,101
510,80804,KGS Volberger Weg,Volberger Weg 17,1,,80804,Rath/Heumar,51107,03202001700,789274.219,6608104.7164,Rath/Heumar,41,17,93
511,70302,GGS Hohe Str.,Hohe Str. 77-79,1,,70302,Ensen,51149,04794007700,782552.7812,6603072.6926,Ensen,07,17,93
512,50604,Marienschule,Altonaer Str. 32,1,,50604,Longerich,50737,00084003200,770855.9754,6620547.3997,Longerich,30,16,95
513,90113,Gymnasium Genovevastr,Genovevastr. 58,0,,90113,Mülheim,51063,01089005800,780097.3788,6615063.3427,Mülheim,36,19,101
514,50414,GGS Nesselrodestr.,Nesselrodestr. 15,1,,50414,Niehl,50735,02318001500,775223.8518,6617303.6446,Niehl,34,16,95
515,50308,GGS Garthestr.,Garthestr. 20,0,,50308,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
516,50115,Gymnasium Blücherstr.,Blücherstr. 15,0,,50115,Nippes,50733,00484001500,774287.0725,6615402.0449,Nippes,32,15,95
517,80801,KGS Volberger Weg,Volberger Weg 17,1,,80801,Rath/Heumar,51107,03202001700,789274.219,6608104.7164,Rath/Heumar,41,17,93
518,80805,KGS Volberger Weg,Volberger Weg 17,1,,80805,Rath/Heumar,51107,03202001700,789274.219,6608104.7164,Rath/Heumar,41,17,93
519,40311,Schule Lindweiler Hof,Rochusstr. 80,1,,40311,Bickendorf,50827,02675008000,768532.3684,6614360.5521,Bickendorf,24,15,95
520,71203,AK Autoport Köln GmbH,Am Linder Kreuz 10,1,,71203,Lind,51147,04127001000,789908.1995,6594107.0133,Lind,10,17,93
521,60607,Schulzentrum Pesch,Schulstr. 18,1,,60607,Pesch,50767,05466001800,764958.7355,6620963.8559,Pesch,28,16,95
522,80206,GGS Kapitelstr.,Kapitelstr. 24,1,,80206,Kalk,51103,01719002400,779712.2211,6610707.3938,Kalk,42,18,93
523,50108,GGS Steinbergerstr.,Steinbergerstr. 40,0,,50108,Nippes,50733,02972004000,773743.9724,6614516.127,Nippes,32,15,95
524,20105,Maria-Sybilla-Merian-Schule,Cäsarstr. 50,1,,20105,Bayenthal,50968,00613005000,775545.8174,6605044.2776,Bayenthal,12,13,94
525,20901,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20901,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
526,90709,GGS Leuchterstr.,Leuchterstr. 25,1,,90709,Dünnwald,51069,01998002500,783498.0211,6620753.0406,Dünnwald,38,19,101
527,10422,GGS Balthasarstr.,Balthasarstr. 87,0,,10422,Neustadt/Nord,50670,00378008700,774813.6148,6613025.6198,Neustadt/Nord,05,18,93
528,40210,GGS Nußbaumerstr.,Nußbaumerstr. 254,1,,40210,Neuehrenfeld,50825,02386025400,770526.1895,6613883.4003,Neuehrenfeld,23,15,95
529,50413,GGS Nesselrodestr.,Nesselrodestr. 15,1,,50413,Niehl,50735,02318001500,775223.8518,6617303.6446,Niehl,34,16,95
530,10405,GGS Antwerpener Str.,Antwerpener Str. 19,0,,10405,Neustadt/Nord,50672,00288001900,772125.1101,6610677.243,Neustadt/Nord,04,18,93
531,10215,GGS Loreleystr.,Loreleystr. 3,0,,10215,Neustadt/Süd,50677,02054000300,773880.6639,6607057.6485,Neustadt/Süd,02,13,94
532,10421,GGS Balthasarstr.,Balthasarstr. 87,0,,10421,Neustadt/Nord,50670,00378008700,774813.6148,6613025.6198,Neustadt/Nord,05,18,93
533,30707,Clarenhofschule,Schulstr. 2,1,,30707,Weiden,50859,05469000200,760091.3877,6610287.7558,Weiden,21,14,94
534,30401,GGS Geilenkircher Str.,Geilenkircher Str. 52,1,,30401,Braunsfeld,50933,01076005200,767783.8159,6610926.3031,Braunsfeld,19,14,94
535,90514,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90514,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
536,60801,Heinrich-Mann-Gymnasium,Fühlinger Weg 4,1,,60801,Volkhoven/Weiler,50765,01055000400,766231.0212,6624518.7689,Volkhoven/Weiler,26,16,95
537,90523,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90523,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
538,20610,Anne-Frank-Schule,Adlerstr. 13,1,,20610,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
539,90904,Regenbogenschule,Peter-Grieß-Str. 5-7,0,,90904,Flittard,51061,02503000500,778209.6397,6620802.9438,Flittard,37,19,101
540,50403,GGS Halfengasse,Halfengasse 25,1,,50403,Niehl,50735,01280002500,774891.3606,6620001.6036,Niehl,30,16,95
541,20303,GGS Annastr.,Annastr. 63,0,,20303,Raderberg,50968,00267006300,774754.6832,6604424.9585,Raderberg,13,13,94
542,90120,GHS Tiefentalstraße,Tiefentalstr. 66,1,,90120,Mülheim,51063,03088006600,780261.1925,6616931.3056,Mülheim,37,19,101
543,10118,Kath. HS Großer Griechenmarkt,Großer Griechenmarkt 76,1,,10118,Altstadt/Süd,50676,01220007600,773765.0876,6609303.7533,Altstadt/Süd,01,13,94
544,70505,GGS Schulstr. Porz,Schulstr. 23,0,,70505,Eil,51145,05467002300,788095.8205,6602404.6126,Eil,08,17,93
545,50110,GGS Steinbergerstr.,Steinbergerstr. 40,0,,50110,Nippes,50733,02972004000,773743.9724,6614516.127,Nippes,32,15,95
546,30703,Albert Schweitzer-Grundschule,Breslauer Str. 11,1,,30703,Weiden,50858,04344001100,761926.681,6610013.5024,Weiden,20,14,94
547,60401,Ursula-Kuhr-Schule,Volkhovener Weg 140,1,,60401,Heimersdorf,50767,03204014000,767894.825,6622713.6209,Heimersdorf,26,16,95
548,10415,Freie Schule Köln e. V.,Bernhard-Letterhaus-Str. 17,1,,10415,Neustadt/Nord,50670,00441001700,773897.1812,6613402.3783,Neustadt/Nord,05,18,93
549,90411,Gesamtschule Holweide,Burgwiesenstr. 125,1,,90411,Holweide,51067,00601012500,783619.6497,6614630.3966,Holweide,40,19,101
550,40310,Schule Lindweiler Hof,Rochusstr. 80,1,,40310,Bickendorf,50827,02675008000,768532.3684,6614360.5521,Bickendorf,24,15,95
551,80607,KGS Fußfallstr.,Fußfallstr. 55,1,,80607,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
552,40604,KOGS Wilhelm-Schreiber-Str.,Wilhelm-Schreiber-Str. 56,1,,40604,Ossendorf,50827,03347005600,768197.3379,6616214.4815,Ossendorf,24,15,95
553,20507,Seniorenhaus Rosenpark,Bernhard-Feilchenfeld-Str. 5,1,,20507,Zollstock,50969,03570000500,772956.8265,6606270.6099,Zollstock,13,13,94
554,30805,Pfarrheim St. Severin,Kirchgasse 3,1,,30805,Lövenich,50859,04968000300,760144.1135,6611522.4067,Lövenich,21,14,94
555,90602,Rosenmaarschule,Am Rosenmaar 3,1,,90602,Höhenhaus,51061,00183000300,783466.7197,6620062.2585,Höhenhaus,38,19,101
556,30301,Evang. Gemeindehaus,Lindenthalgürtel 30,0,,30301,Lindenthal,50935,02028003000,769561.0328,6607723.7209,Lindenthal,18,14,94
557,71411,GGS Irisweg,Irisweg 2,1,,71411,Zündorf,51143,04897000200,785571.1335,6598711.5365,Zündorf,11,17,93
558,60304,GGS Riphahnstr.,Riphahnstr. 40a,1,,60304,Seeberg,50769,02662004001,768266.6809,6624821.432,Seeberg,26,16,95
559,90111,Realschule Lassallestr.,Lassallestr. 59,1,,90111,Mülheim,51065,01957005900,780092.2711,6613961.1581,Mülheim,36,19,101
560,70502,Johanniter-Haus Köln-Finkenberg,Konrad-Adenauer-Str. 16,1,,70502,Finkenberg,51149,05008001600,786570.0661,6602840.229,Eil,08,17,93
