Nr,Name,MaxSchnellmeldungen,AnzSchnellmeldungen,Wahlberechtigte,abgegeben,Wahlbeteiligung,gültigeStimmzettel,gültig,ungültigeStimmzettel,ungültig,gültig2,ungültig2,CDU,CDU_Proz,Z_CDU,Z_CDU_Proz,SPD,SPD_Proz,Z_SPD,Z_SPD_Proz,FDP,FDP_Proz,Z_FDP,Z_FDP_Proz,GRÜNE,GRÜNE_Proz,Z_GRÜNE,Z_GRÜNE_Proz,DIE LINKE,DIE LINKE_Proz,Z_DIE LINKE,Z_DIE LINKE_Proz,PIRATEN,PIRATEN_Proz,Z_PIRATEN,Z_PIRATEN_Proz,NPD,NPD_Proz,Z_NPD,Z_NPD_Proz,REP,REP_Proz,Z_REP,Z_REP_Proz,Bündnis 21/RRP,Bündnis 21/RRP_Proz,Z_Bündnis 21/RRP,Z_Bündnis 21/RRP_Proz,Volksabstimmung,Volksabstimmung_Proz,Z_Volksabstimmung,Z_Volksabstimmung_Proz,ÖDP,ÖDP_Proz,Z_ÖDP,Z_ÖDP_Proz,MLPD,MLPD_Proz,Z_MLPD,Z_MLPD_Proz,BüSo,BüSo_Proz,Z_BüSo,Z_BüSo_Proz,PSG,PSG_Proz,Z_PSG,Z_PSG_Proz,AfD,AfD_Proz,Z_AfD,Z_AfD_Proz,BIG,BIG_Proz,Z_BIG,Z_BIG_Proz,pro Deutschland,pro Deutschland_Proz,Z_pro Deutschland,Z_pro Deutschland_Proz,DIE RECHTE,DIE RECHTE_Proz,Z_DIE RECHTE,Z_DIE RECHTE_Proz,FREIE WÄHLER,FREIE WÄHLER_Proz,Z_FREIE WÄHLER,Z_FREIE WÄHLER_Proz,Partei der Nichtwähler,Partei der Nichtwähler_Proz,Z_Partei der Nichtwähler,Z_Partei der Nichtwähler_Proz,Partei der Vernunft,Partei der Vernunft_Proz,Z_Partei der Vernunft,Z_Partei der Vernunft_Proz,Die PARTEI,Die PARTEI_Proz,Z_Die PARTEI,Z_Die PARTEI_Proz,_unnamed
,Immendorf,3,3,1432,1051,73.39,,1043,,8,1044,7,427,40.94,404,38.7,405,38.83,342,32.76,14,1.34,45,4.31,75,7.19,87,8.33,52,4.99,63,6.03,24,2.3,23,2.2,14,1.34,15,1.44,0,0.0,3,0.29,0,0.0,0,0.0,0,0.0,2,0.19,0,0.0,3,0.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,2.59,38,3.64,0,0.0,0,0.0,0,0.0,9,0.86,0,0.0,0,0.0,5,0.48,4,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.57,
,Junkersdorf,13,13,9663,7961,82.39,,7925,,36,7939,22,4382,55.29,3761,47.37,1917,24.19,1566,19.73,264,3.33,988,12.44,799,10.08,852,10.73,227,2.86,269,3.39,118,1.49,134,1.69,15,0.19,15,0.19,0,0.0,3,0.04,0,0.0,0,0.0,0,0.0,9,0.11,0,0.0,12,0.15,0,0.0,0,0.0,3,0.04,1,0.01,0,0.0,1,0.01,179,2.26,278,3.5,0,0.0,2,0.03,0,0.0,7,0.09,0,0.0,0,0.0,21,0.26,12,0.15,0,0.0,10,0.13,0,0.0,2,0.03,0,0.0,17,0.21,
,Kalk,11,11,11948,7028,58.82,,6918,,110,6931,97,1499,21.67,1418,20.46,2894,41.83,2391,34.5,113,1.63,202,2.91,982,14.19,1057,15.25,850,12.29,995,14.36,279,4.03,302,4.36,82,1.19,55,0.79,0,0.0,5,0.07,0,0.0,8,0.12,0,0.0,15,0.22,0,0.0,18,0.26,0,0.0,14,0.2,15,0.22,8,0.12,0,0.0,3,0.04,176,2.54,223,3.22,0,0.0,35,0.5,0,0.0,29,0.42,0,0.0,2,0.03,28,0.4,24,0.35,0,0.0,14,0.2,0,0.0,12,0.17,0,0.0,101,1.46,
,Klettenberg,13,13,8241,6905,83.79,,6851,,54,6864,41,2350,34.3,2136,31.12,2451,35.78,1939,28.25,157,2.29,463,6.75,1279,18.67,1419,20.67,359,5.24,508,7.4,105,1.53,117,1.7,19,0.28,18,0.26,0,0.0,1,0.01,0,0.0,3,0.04,0,0.0,7,0.1,0,0.0,9,0.13,0,0.0,0,0.0,2,0.03,2,0.03,0,0.0,3,0.04,115,1.68,162,2.36,0,0.0,1,0.01,0,0.0,5,0.07,0,0.0,1,0.01,14,0.2,18,0.26,0,0.0,13,0.19,0,0.0,1,0.01,0,0.0,38,0.55,
,Langel,5,5,2541,1974,77.69,,1960,,14,1963,11,917,46.79,854,43.5,675,34.44,571,29.09,48,2.45,113,5.76,115,5.87,169,8.61,77,3.93,96,4.89,31,1.58,38,1.94,18,0.92,10,0.51,0,0.0,2,0.1,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,4,0.2,0,0.0,1,0.05,2,0.1,2,0.1,0,0.0,0,0.0,72,3.67,88,4.48,0,0.0,0,0.0,0,0.0,5,0.25,0,0.0,0,0.0,5,0.26,0,0.0,0,0.0,1,0.05,0,0.0,1,0.05,0,0.0,7,0.36,
,Libur,2,2,812,653,80.42,,646,,7,648,5,344,53.25,322,49.69,201,31.11,164,25.31,8,1.24,27,4.17,31,4.8,53,8.18,13,2.01,21,3.24,9,1.39,12,1.85,6,0.93,2,0.31,0,0.0,2,0.31,0,0.0,0,0.0,0,0.0,2,0.31,0,0.0,4,0.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,4.95,33,5.09,0,0.0,0,0.0,0,0.0,2,0.31,0,0.0,0,0.0,2,0.31,1,0.15,0,0.0,1,0.15,0,0.0,1,0.15,0,0.0,1,0.15,
,Lind,5,5,2580,1829,70.89,,1815,,14,1817,12,716,39.45,684,37.64,714,39.34,591,32.53,40,2.2,89,4.9,83,4.57,132,7.26,90,4.96,101,5.56,51,2.81,61,3.36,19,1.05,19,1.05,0,0.0,1,0.06,0,0.0,3,0.17,0,0.0,6,0.33,0,0.0,2,0.11,0,0.0,0,0.0,1,0.06,1,0.06,0,0.0,0,0.0,94,5.18,111,6.11,0,0.0,3,0.17,0,0.0,2,0.11,0,0.0,0,0.0,7,0.39,5,0.28,0,0.0,2,0.11,0,0.0,0,0.0,0,0.0,4,0.22,
,Lindenthal,35,35,23658,19737,83.43,,19621,,116,19659,78,8880,45.26,7682,39.08,5852,29.83,4568,23.24,575,2.93,1978,10.06,2849,14.52,3164,16.09,706,3.6,964,4.9,289,1.47,359,1.83,38,0.19,22,0.11,0,0.0,7,0.04,0,0.0,2,0.01,0,0.0,17,0.09,0,0.0,37,0.19,0,0.0,3,0.02,9,0.05,3,0.02,0,0.0,3,0.02,368,1.88,652,3.32,0,0.0,10,0.05,0,0.0,20,0.1,0,0.0,1,0.01,55,0.28,39,0.2,0,0.0,37,0.19,0,0.0,5,0.03,0,0.0,86,0.44,
,Lindweiler,3,3,2373,1462,61.61,,1443,,19,1449,13,611,42.34,562,38.79,584,40.47,503,34.71,22,1.52,51,3.52,56,3.88,73,5.04,94,6.51,106,7.32,35,2.43,36,2.48,30,2.08,19,1.31,0,0.0,4,0.28,0,0.0,0,0.0,0,0.0,2,0.14,0,0.0,2,0.14,0,0.0,0,0.0,3,0.21,0,0.0,0,0.0,0,0.0,0,0.0,57,3.93,0,0.0,13,0.9,0,0.0,5,0.35,0,0.0,0,0.0,8,0.55,2,0.14,0,0.0,5,0.35,0,0.0,1,0.07,0,0.0,8,0.55,
,Longerich,17,17,10087,7497,74.32,,7400,,97,7419,78,3231,43.66,3037,40.94,2687,36.31,2252,30.35,196,2.65,376,5.07,599,8.09,719,9.69,368,4.97,446,6.01,170,2.3,147,1.98,97,1.31,61,0.82,0,0.0,9,0.12,0,0.0,2,0.03,0,0.0,9,0.12,0,0.0,12,0.16,0,0.0,0,0.0,9,0.12,2,0.03,0,0.0,2,0.03,0,0.0,232,3.13,0,0.0,10,0.13,0,0.0,25,0.34,0,0.0,1,0.01,43,0.58,26,0.35,0,0.0,5,0.07,0,0.0,6,0.08,0,0.0,40,0.54,
