station_code,station_local_code,station_name,station_start_date,station_end_date,station_latitude_d,station_latitude_dms,station_longitude_d,station_longitude_dms,station_altitude,type_of_station,station_type_of_area,station_ozone_classification,station_subcat_rural_background,network_code
DEBB085,DEBB085,"Spremberg, Trattendorf",20100212,20120103,51.534534,+051.32.4,14.383492,+014.23.0,103,industrial,suburban,suburban,unknown,DE014A
DEBB086,DEBB086,Blankenfelde-Mahlow,20100525,,52.349703,+052.20.58,13.424304,+013.25.27,43,background,suburban,suburban,unknown,DE014A
DEBB087,DEBB087,"Cottbus, W.-Külz-Str.",20101201,,51.75413,+051.45.14,14.325549,+014.19.31,75,traffic,urban,urban,unknown,DE014A
DEBB088,DEBB088,"Premnitz, OT Döberitz",20130306,,52.52401,+052.31.26,12.370162,+012.22.12,30,industrial,suburban,suburban,unknown,DE014A
DEBB089,DEBB089,WMN_Kleinmachnow,19890101,,52.398502,+052.23.54,13.186497,+013.11.11,50,background,rural,rural,unknown,DE014A
DEBB090,DEBB090,WMN_Cumlosen,19890101,,53.04187,+053.2.30,11.636464,+011.38.11,50,background,rural,rural,unknown,DE014A
DEBB091,DEBB091,WMN_Hohenwutzen,19890101,,52.836134,+052.50.10,14.122803,+014.7.22,50,background,rural,rural,unknown,DE014A
DEBB092,DEBB092,Frankfurt (Oder),20131001,,52.33468,+052.20.4,14.52596,+014.31.33,74,background,suburban,suburban,unknown,DE014A
DEBB093,DEBB093,zDep_Natteheide,20050101,,53.098,+053.5.52,12.43,+012.25.47,,background,rural,rural background,remote,DE014A
DEBB094,DEBB094,zDep_Beerenbusch,20050101,,53.141,+053.8.27,12.936,+012.56.9,,background,rural,rural background,remote,DE014A
DEBB095,DEBB095,zDep_Kienhorst,20050101,,52.974,+052.58.26,13.646,+013.38.45,,background,rural,rural background,remote,DE014A
DEBB096,DEBB096,zDep_Weizgrund,20050101,,52.194,+052.11.38,12.562,+012.33.43,,background,rural,rural background,remote,DE014A
DEBB097,DEBB097,zDep_Neusorgefeld,20050101,,51.803,+051.48.10,13.566,+013.33.57,,background,rural,rural background,remote,DE014A
DEBB098,DEBB098,zDep_Schwenow,20050101,20071231,52.139,+052.8.20,14.01,+014.0.35,,background,rural,rural background,remote,DE014A
DEBB901,DEBB901,"Finsterwalde, 1991-1995",19910101,19950610,51.625863,+051.37.33,13.71582,+013.42.56,107,background,urban,urban,unknown,DE014A
DEBB902,DEBB902,"Oranienburg, 1991-1995",19910201,19950522,52.756477,+052.45.23,13.239715,+013.14.22,35,background,urban,urban,unknown,DE014A
DEBB903,DEBB903,"Potsdam-Hermannswerder, 89-1995",19910201,19950614,52.386748,+052.23.12,13.039659,+013.2.22,32,background,suburban,suburban,unknown,DE014A
DEBB904,DEBB904,"Spremberg, 1991-1995",19910101,19950703,51.565535,+051.33.55,14.374373,+014.22.27,100,background,suburban,suburban,unknown,DE014A
DEBE001,DEBE001,B Heiligensee-Krantorweg,19891001,19970331,52.621633,+052.37.17,13.227052,+013.13.37,35,background,suburban,suburban,unknown,DE008A
DEBE002,DEBE002,B Hermsdorf-Glambecker Weg,19890101,19920430,52.625181,+052.37.30,13.290652,+013.17.26,50,background,suburban,suburban,unknown,DE008A
DEBE003,DEBE003,B Lübars-Vierrutenberg,19881201,19951031,52.618808,+052.37.7,13.338462,+013.20.18,40,background,suburban,suburban,unknown,DE008A
DEBE004,DEBE004,B Konradshöhe-Dorndreher Weg,19890701,19920430,52.587587,+052.35.15,13.234217,+013.14.3,35,background,rural,rural,near-city,DE008A
DEBE005,DEBE005,B Tegel-Buddestraße,19870401,20021231,52.587014,+052.35.13,13.288054,+013.17.16,35,background,suburban,suburban,unknown,DE008A
DEBE006,DEBE006,B Wittenau-Rödernallee,19881001,19950331,52.586382,+052.35.10,13.344852,+013.20.41,45,background,suburban,suburban,unknown,DE008A
DEBE007,DEBE007,B Falkenhagener Feld-Pionierstr.,19881201,19951231,52.557706,+052.33.27,13.167762,+013.10.3,35,background,suburban,suburban,unknown,DE008A
DEBE008,DEBE008,B Haselhorst-Rhenaniastr.,19890101,19960331,52.555282,+052.33.19,13.229622,+013.13.46,35,background,suburban,suburban,unknown,DE008A
DEBE009,DEBE009,B Tegel-Flughafen,19881201,19960331,52.551061,+052.33.3,13.288475,+013.17.18,35,background,suburban,suburban,unknown,DE008A
DEBE010,DEBE010,B Wedding-Amrumer Str.,19841101,,52.543007,+052.32.34,13.349116,+013.20.56,35,background,urban,urban,unknown,DE008A
DEBE011,DEBE011,B Wedding/Prenzl. Berg-Behmstr.,19870701,20021231,52.550889,+052.33.3,13.39598,+013.23.45,45,traffic,suburban,suburban,unknown,DE008A
DEBE012,DEBE012,B Staaken-Weinmeisterhornweg,19881201,19960331,52.512768,+052.30.45,13.168043,+013.10.4,35,background,suburban,suburban,unknown,DE008A
DEBE013,DEBE013,B Tiefwerder-Havelchaussee,19881201,19920430,52.517396,+052.31.2,13.217747,+013.13.3,35,background,rural,rural,near-city,DE008A
DEBE014,DEBE014,B Charlottenburg-Stadtautobahn,19861201,20050323,52.517428,+052.31.2,13.282185,+013.16.55,50,traffic,urban,urban,unknown,DE008A
DEBE015,DEBE015,B Tiergarten-Bachstraße,19890801,20021231,52.519043,+052.31.8,13.339109,+013.20.20,35,traffic,urban,urban,unknown,DE008A
DEBE016,DEBE016,B Kreuzberg-Gitschiner Str.,19860301,19930228,52.497612,+052.29.51,13.404721,+013.24.16,35,background,urban,urban,unknown,DE008A
DEBE017,DEBE017,B Schmargendorf-Lentzeallee,19860301,19981231,52.470717,+052.28.14,13.293638,+013.17.37,50,background,suburban,suburban,unknown,DE008A
DEBE018,DEBE018,B Schöneberg-Belziger Straße,19861101,,52.485814,+052.29.8,13.348775,+013.20.55,40,background,urban,urban,unknown,DE008A
DEBE019,DEBE019,B Hasenheide-Columbiadamm,19881201,19920630,52.478056,+052.28.41,13.417122,+013.25.1,45,background,urban,urban,unknown,DE008A
DEBE020,DEBE020,B Neukölln-Ederstraße,19881201,19941130,52.475428,+052.28.31,13.455524,+013.27.19,35,background,urban,urban,unknown,DE008A
DEBE021,DEBE021,B Zehlendorf-Argentinische Allee,19890301,19920630,52.445501,+052.26.43,13.242742,+013.14.33,45,background,suburban,suburban,unknown,DE008A
