Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;Bündnis 21/RRP;Bündnis 21/RRP_Proz;Z_Bündnis 21/RRP;Z_Bündnis 21/RRP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;ÖDP;ÖDP_Proz;Z_ÖDP;Z_ÖDP_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;BüSo;BüSo_Proz;Z_BüSo;Z_BüSo_Proz;PSG;PSG_Proz;Z_PSG;Z_PSG_Proz;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;pro Deutschland;pro Deutschland_Proz;Z_pro Deutschland;Z_pro Deutschland_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE WÄHLER;Z_FREIE WÄHLER_Proz;Partei der Nichtwähler;Partei der Nichtwähler_Proz;Z_Partei der Nichtwähler;Z_Partei der Nichtwähler_Proz;Partei der Vernunft;Partei der Vernunft_Proz;Z_Partei der Vernunft;Z_Partei der Vernunft_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;
10201;10201;1;1;775;421;54,32;;418;;3;418;3;84;20,10;91;21,77;194;46,41;132;31,58;12;2,87;20;4,78;84;20,10;107;25,60;29;6,94;42;10,05;8;1,91;9;2,15;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,44;15;3,59;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;1;0,24;
10202;10202;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10203;10203;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10204;10204;1;1;628;350;55,73;;347;;3;348;2;67;19,31;52;14,94;136;39,19;100;28,74;2;0,58;15;4,31;97;27,95;106;30,46;31;8,93;47;13,51;10;2,88;8;2,30;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,86;14;4,02;0;0,00;0;0,00;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,57;0;0,00;0;0,00;0;0,00;3;0,86;
10205;10205;1;1;657;317;48,25;;312;;5;313;4;63;20,19;64;20,45;124;39,74;95;30,35;6;1,92;12;3,83;73;23,40;70;22,36;31;9,94;53;16,93;8;2,56;9;2,88;1;0,32;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,92;7;2,24;0;0,00;0;0,00;0;0,00;1;0,32;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,32;0;0,00;0;0,00;0;0,00;1;0,32;
10206;10206;1;1;641;279;43,53;;278;;1;279;0;62;22,30;56;20,07;117;42,09;105;37,63;3;1,08;12;4,30;66;23,74;72;25,81;22;7,91;25;8,96;3;1,08;2;0,72;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;1,80;5;1,79;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,72;
10207;10207;1;1;746;364;48,79;;361;;3;364;0;80;22,16;76;20,88;135;37,40;140;38,46;8;2,22;14;3,85;81;22,44;64;17,58;36;9,97;43;11,81;15;4,16;11;3,02;1;0,28;1;0,27;0;0,00;1;0,27;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;1,39;8;2,20;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;2;0,55;
10208;10208;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10209;10209;1;1;796;421;52,89;;418;;3;419;2;77;18,42;73;17,42;170;40,67;135;32,22;6;1,44;18;4,30;100;23,92;100;23,87;42;10,05;52;12,41;13;3,11;16;3,82;1;0,24;2;0,48;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;1;0,24;0;0,00;1;0,24;8;1,91;12;2,86;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,48;0;0,00;0;0,00;0;0,00;5;1,19;
10210;10210;1;1;789;410;51,96;;406;;4;408;2;76;18,72;76;18,63;166;40,89;132;32,35;7;1,72;13;3,19;95;23,40;102;25,00;41;10,10;52;12,75;11;2,71;12;2,94;1;0,25;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;1;0,25;7;1,72;8;1,96;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;2;0,49;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;8;1,96;
10211;10211;1;1;764;397;51,96;;396;;1;396;1;103;26,01;91;22,98;142;35,86;102;25,76;4;1,01;16;4,04;92;23,23;100;25,25;36;9,09;55;13,89;11;2,78;11;2,78;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;2,02;12;3,03;0;0,00;2;0,51;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;1,01;
10212;10212;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10213;10213;1;1;697;328;47,06;;324;;4;326;2;57;17,59;67;20,55;109;33,64;85;26,07;8;2,47;14;4,29;93;28,70;79;24,23;49;15,12;62;19,02;5;1,54;6;1,84;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,61;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,62;4;1,23;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,31;3;0,92;0;0,00;1;0,31;0;0,00;0;0,00;0;0,00;3;0,92;
10214;10214;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10215;10215;1;1;659;332;50,38;;329;;3;330;2;72;21,88;67;20,30;128;38,91;97;29,39;5;1,52;14;4,24;81;24,62;85;25,76;29;8,81;46;13,94;7;2,13;11;3,33;1;0,30;1;0,30;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,82;6;1,82;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,91;
