Einzugsgebiet,Gewaesser,Informationsstufe 1,Informationsstufe 2,Informationsstufe 3,MHW,MNW,Mittel,Name,X,Y
Weser,Ilse,,,,165.0,27.0,40.0,Liemergrund,8.8502296,52.0297348
Weser,Bega,,,,402.0,136.0,168.0,Lindemannsheide_Alt,8.7666934,52.0549354
Weser,Bega,,,,328.0,64.0,96.0,Lindemannsheide_neu,8.7716018,52.0533537
Rur,Rur,195.0,,,188.0,92.0,107.0,Linnich,6.2744896,50.9812835
Lippe,Lippe,,,,60.0,23.0,35.0,Lippspringe1,8.8214704,51.780506
Lippe,Lippe,,,,192.0,14.0,60.0,Lippstadt-Nordumflut,8.3346,51.6768668
Lippe,Lippe,,,,,,,Lippstadt2,8.3325414,51.6722784
Lippe,Lippe,350.0,392.0,405.0,338.0,41.0,80.0,Lippstadt_1,8.3361761,51.6739264
Weser,Werre,470.0,520.0,570.0,416.0,70.0,109.0,Loehne,8.7101571,52.1978804
Sieg,Agger,250.0,390.0,430.0,333.0,21.0,69.0,Lohmar,7.2013295,50.8416182
Ijssel,Berkel,181.0,229.0,260.0,200.0,30.0,50.0,Lutum,7.2217808,51.9841908
Wupper,Dhünn,,,,156.0,24.0,41.0,Manfort,7.0073725,51.0382527
Ems,Lutter,,,,145.0,30.0,45.0,Marienfeld_W,8.2554092,51.9483731
Sieg,Sieg,220.0,410.0,440.0,363.0,16.0,71.0,Menden_1,7.1591442,50.7978982
Ruhr,Hönne,,,,109.0,11.0,26.0,Menden_Oberroedingh,7.8422078,51.3989036
Ruhr,Hönne,,,,191.0,22.5,46.8,Menden_Sauerland,7.7774102,51.4471456
Ruhr,Ruhr,160.0,320.0,380.0,172.0,29.0,50.0,Meschede,8.280217,51.3478574
Ruhr,Henne,,,,,,,Meschede4,8.284012,51.3420537
Erft,Eschweiler Bach,,,,,,,Moeschemer-Muehle,6.7603566,50.571558
Schwalm,Schwalm,,,,87.0,28.0,35.0,Molzmuehle,6.2732801,51.1618744
Rur,Rur,120.0,145.0,170.0,128.0,7.0,31.0,Monschau,6.2458863,50.5543512
Erft,Swistbach,160.0,195.0,250.0,154.0,14.0,27.0,Morenhoven,6.9527572,50.6647275
Sieg,Wisserbach,,,,139.0,15.0,35.0,Morsbach,7.7406621,50.8612943
Weser,Eder,,,,159.0,39.0,62.0,Muesse,8.2839666,51.0495234
Rur,Vichtbach,100.0,115.0,160.0,109.0,16.0,26.0,Mulartshuette,6.2099583,50.6910674
Lippe,Alme,,,,135.0,45.0,65.0,Multhaeupter Hammer,8.593746,51.490519
Ruhr,Ruhr,,,,,,,Neheim3,7.9538502,51.4554531
Erft,Erft,180.0,,,141.0,66.0,85.0,Neubrueck,6.6488262,51.1321659
Lippe,Lippe,,,,163.0,14.0,38.0,Neuhaus1,8.7312429,51.7448905
Lippe,Alme,170.0,230.0,250.0,119.0,19.0,38.0,Neuhaus2,8.7093536,51.7341297
Lippe,Thune,,,,110.0,45.0,55.0,Neuhaus3,8.7178303,51.7658179
Rhein,Ahr,,,,128.0,12.0,25.0,Neuhof,6.748513,50.383099
Rhein,Mehlemer Bach,,,,,,,Niederbachem,7.1796224,50.6465388
Sieg,Weiss,,,,153.0,21.0,41.0,Niederdielfen,8.0801016,50.8631775
Lippe,Alme,,,,285.0,33.0,100.0,Niederntudorf,8.6812635,51.6410221
Sieg,Pleisbach,,,,170.0,12.0,27.0,Niederpleis,7.2157163,50.7735052
Sieg,Sieg,,,,282.0,52.0,91.0,Niederschelden,7.9667369,50.8451062
Lippe,Altenau,175.0,210.0,225.0,150.0,12.0,35.0,Nordborchen,8.718337,51.6633799
Sieg,Steinagger,,,,68.0,6.0,18.0,Oberagger,7.664606,50.9867482
Weser,Else,240.0,280.0,310.0,225.0,18.0,38.0,Oberahle,8.5142722,52.1886865
Niers,Niers,,,,149.0,49.0,79.0,Oedt,6.3719219,51.3219542
Ruhr,Ruhr,200.0,330.0,370.0,249.0,28.0,69.0,Oeventrop,8.1306361,51.3972618
Lippe,Stever,210.0,260.0,350.0,241.0,17.0,51.0,Olfen-Fuecht.Muehle,7.3498567,51.7215897
Ruhr,Ruhr,160.0,270.0,295.0,183.0,27.0,62.0,Olsberg,8.488024,51.3514046
Wupper,Wupper,,,,269.0,57.0,86.0,Opladen,6.9941662,51.0702147
Rur,Myhler Bach,,,,,,,Orsbeck,6.1605051,51.127834
Weser,Nethe,310.0,330.0,350.0,297.0,95.0,123.0,Ottbergen,9.3215691,51.7084326
Sieg,Agger,250.0,315.0,355.0,276.0,32.0,73.0,Overath,7.2921915,50.9338178
Lippe,Gieseler,,,,225.0,29.0,50.0,Overhagen,8.3274029,51.6481875
Lippe,Pader,,,,120.0,60.0,80.0,Paderborn1,8.7501527,51.7224807
